Reference number,Reference URL,First author,Title,Journal,Year,Country in which trial conducted,Continent in which trial conducted,Clinical trial phase (detail),Clinical trial phase (broad),Mechanism of action,ISCT compliance claimed,ISCT compliance demonstrated,Given indication,Indication class code,Indication class,Route of administration,Source of MSC,Stem or Stromal cell,Allogeneic or autologous,Donor sex,Donor Age,Stringency of characterisation,Osteogenic differentiation capacity,Adipogenic differentiation capacity,Chondrogenic differentiation capacity,Other differentiation capacity,Other differentiation capacity: Type,Co-occurence of differentiation capacity,Differentiation,"Number of characterisation attribute
 tests performed, value reported","Number of characterisation attribute
 tests performed, no value reported","Number of characterisation attribute
 tests performed, total",Viability qualifier,Viability value,Viability status,Viability test,CD73 qualifier,CD73 value,CD73 status,CD73 test,CD90 qualifier,CD90 value,CD90 status,CD90 test,CD105 qualifier,CD105 value,CD105 status,CD105 test,CD34 qualifier,CD34 value,CD34 status,CD34 test,CD45 qualifier,CD45 value,CD45 status,CD45 test,CD11b qualifier,CD11b value,CD11b status,CD11b test,CD14 qualifier,CD14 value,CD14 status,CD14 test,CD79a qualifier,CD79a value,CD79a status,CD79a test,CD19 qualifier,CD19 value,CD19 status,CD19 test,HLA-DR qualifier,HLA-DR value,HLA-DR status,HLA-DR test,CD3 qualifier,CD3 value,CD3 test,CD13 value,CD13 test,CD31 qualifer,CD31 value,CD31 test,CD133 qualifier,CD133 value,CD133 status,CD133 test,CD166 qualifier,CD166 value,CD166 status,CD166 test,CD29 qualifier,CD29 value,CD29 status,CD29 test,CD44 qualifier,CD44 value,CD44 status,CD44 test,CD146 value,CD146 test,CD271 value,CD271 test,STRO-1 value,STRO-1 test,MSCA-1 value,MSCA-1 test,SSEA-4 value,SSEA-4 test,Other markers noted
24,https://online.boneandjoint.org.uk/doi/full/10.1302/2046-3758.57.2000587,Ismail,Mesenchymal stem cell implantation in atrophic nonunion of the long bones,Bone & Joint Research,2016,Indonesia,Asia,I/IIa,I,Not stated,n,n/a (not claimed),Bone non-union,MS,Musculoskeletal,Implant,Bone marrow,Stem,Autologous,Not stated,Not stated,3. Tests done but % not reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,6,7,average,89.97,measure,p,NA,d,NA,m,NA,NA,NA,n,NA,d,NA,m,NA,d,NA,m,NA,d,NA,m,NA,NA,NA,n,NA,d,NA,m,NA,NA,NA,n,NA,d,NA,n,NA,d,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
25,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.5966/sctm.2015-0245,Pers,Adipose mesenchymal stromal cell-based therapy for severe osteoarthritis of the knee: a Phase I dose-escalation trial,Stem Cells Translational Medicine,2016,France & Germany,Europe,I,I,Paracrine,n,n/a (not claimed),Osteoarthritis,MS,Musculoskeletal,Intraarticular,Adipose,Stromal,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,7,0,7,greater than,90,release,p,greater than,90,release,p,greater than,90,release,p,greater than,80,release,p,less than,10,release,p,less than,2,release,p,NA,NA,NA,n,less than,2,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
26,https://www.hindawi.com/journals/sci/2016/6205910/,Baba,Phase I/II Trial of Autologous Bone Marrow Stem Cell Transplantation with a Three-Dimensional Woven-Fabric Scaffold for Periodontitis,Stem Cells International,2016,Japan,Asia,I/IIa,I,Differentiation,n,n/a (not claimed),Periodontitis,DG,Digestive tract,Implant,Bone marrow,Stem,Autologous,Not stated,Not stated,5. No characterisation discussed,"Performed, value reported",Not mentioned,Not mentioned,"Performed, value reported",osteogenic capacity of MSC in study confirmed in vitro,Demonstrated (O),Yes,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
27,https://www.hindawi.com/journals/sci/2016/1641402/,Erbey,Mesenchymal Stem Cell Treatment for Steroid Refractory Graft-versus-Host Disease in Children: A Pilot and First Study from Turkey,Stem Cells International,2016,Turkey,Asia,I/IIa,I,Immune,n,n/a (not claimed),Graft vs host disease,IM,Immune,Intravenous,Bone marrow,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,7,8,minimum,90,release,p,NA,+,NA,m,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
28,https://journals.lww.com/transplantjournal/fulltext/2015/08000/Treatment_of_Knee_Osteoarthritis_With_Allogeneic.27.aspx,Vega,Treatment of Knee Osteoarthritis With Allogeneic Bone Marrow Mesenchymal Stem Cells: A Randomized Controlled Trial,TRANSPLANTATION,2015,Spain,Europe,I/IIa,I,Not stated,y,n,Osteoarthritis,MS,Musculoskeletal,Intraarticular,Bone marrow,Stem,Allogeneic,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
29,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.5966/sctm.2014-0212,Oh,Phase I Trial of Repeated Intrathecal Autologous Bone Marrow?Derived Mesenchymal Stromal Cells in Amyotrophic Lateral Sclerosis,Stem Cells Translational Medicine,2015,Korea (Republic of),Asia,I,I,Paracrine,n,n/a (not claimed),Amyotrophic lateral sclerosis,CNS,Nervous system,Intrathecal,Bone marrow,Stromal,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,6,0,6,NA,NA,NA,n,NA,I,measure,p,NA,NA,NA,n,NA,I,measure,p,NA,I,measure,p,NA,I,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,I,NA,p,NA,I,NA,p,NA,n,NA,n,NA,n,NA,n,NA,n,NA
30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4495125/,Musialek,Myocardial regeneration strategy using Wharton's jelly mesenchymal stem cells as an off-the-shelf ‘unlimited’ therapeutic agent: results from the Acute Myocardial Infarction First-in-Man Study,Postepy w Kardiologii Interwencyjnej,2015,Poland,Europe,I,I,Not stated,n,n/a (not claimed),Myocardial infarction,CVS,Cardiovascular,Intracoronary,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,3,1,4,NA,NA,NA,n,minimum,95,measure,p,minimum,95,measure,p,greater than,95,measure,p,NA,NA,NA,n,NA,X,measure,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
31,https://journals.sagepub.com/doi/full/10.3727/096368913X667727,Wang,Effects and Safety of Allogenic Mesenchymal Stem Cell Intravenous Infusion in Active Ankylosing Spondylitis Patients who Failed NSAIDs: A 20-Week Clinical Trial,CELL TRANSPLANTATION,2014,China,Asia,II,II,Paracrine,y,n,Ankylosing spondylitis,MS,Musculoskeletal,Intravenous,Bone marrow,Stem,Allogeneic,Male,Adult,4. Stated as 'standard phenotype',"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,0,6,6,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
32,https://journals.sagepub.com/doi/full/10.3727/096368912X661319,Liu,Improvement in Poor Graft Function after Allogeneic Hematopoietic Stem Cell Transplantation upon Administration of Mesenchymal Stem Cells from Third-Party Donors: A Pilot Prospective Study,CELL TRANSPLANTATION,2014,China,Asia,I/IIa,I,Not stated,n,n/a (not claimed),Transplant (haematopoeitic stem cell),IM,Immune,Intravenous,Bone marrow,Stem,Allogeneic,Both,Adult,2. Average % reported,"Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Not mentioned,Demonstrated (OA),Yes,8,1,9,NA,NA,NA,n,NA,99.68,measure,p,NA,97.56,measure,p,NA,99.3,measure,p,NA,0.08,measure,p,NA,0.09,measure,p,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,95.54,measure,p,NA,99.57,measure,p,NA,99.75,NA,p,NA,n,NA,n,NA,n,NA,n,NA,n,NA
33,https://www.sciencedirect.com/science/article/pii/S0006899313011190?via%3Dihub,Dai,Transplantation of autologous bone marrow mesenchymal stem cells in the treatment of complete and chronic cervical spinal cord injury,BRAIN RESEARCH,2013,China,Asia,II,II,Multiple,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Local injection,Bone marrow,Stem,Autologous,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
34,https://link.springer.com/article/10.1186/s12967-016-0998-2,Lamo-Espinosa,Intra-articular injection of two different doses of autologous bone marrow mesenchymal stem cells versus hyaluronic acid in the treatment of knee osteoarthritis: multicenter randomized controlled clinical trial (phase I/II),Journal of Translational Medicine,2016,Spain,Europe,I/IIa,I,Paracrine,y,n,Osteoarthritis,MS,Musculoskeletal,Intraarticular,Bone marrow,Stem,Autologous,Not stated,Not stated,3. Tests done but % not reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,5,5,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,NA,NA,n,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
35,https://journals.lww.com/transplantjournal/fulltext/2013/06270/Treatment_of_Knee_Osteoarthritis_With_Autologous.17.aspx,Orozco,Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stem Cells: A Pilot Study,TRANSPLANTATION,2013,Spain,Europe,I/IIa,I,Multiple,y,n,Osteoarthritis,MS,Musculoskeletal,Intraarticular,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,6,7,greater than,85,measure,p,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,"KDR (VEGFR2) +, CD106+"
36,https://journals.lww.com/transplantjournal/fulltext/2013/03150/Cotransplantation_of_Umbilical_Cord_Derived.20.aspx,Wu,Cotransplantation of Umbilical Cord–Derived Mesenchymal Stem CellsPromote Hematopoietic Engraftment in Cord Blood Transplantation: A Pilot Study,TRANSPLANTATION,2013,Taiwan,Asia,I/IIa,I,Immune,n,n/a (not claimed),Transplant (haematopoeitic stem cell),IM,Immune,Intravenous,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,3. Tests done but % not reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,0,11,11,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,+,m,NA,X,m,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
37,https://journals.sagepub.com/doi/full/10.3727/096368912X639017?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,Scuderi,Human adipose-derived stromal cells for cell-based therapies in the treatment of systemic sclerosis.,CELL TRANSPLANTATION,2013,Italy,Europe,I/IIa,I,Immune,n,n/a (not claimed),Systemic sclerosis,IM,Immune,Subcutaneous,Adipose,Stromal,Autologous,Not stated,Not stated,2. Average % reported,"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,9,1,10,NA,d,NA,m,average,99.2,measure,p,average,99.64,measure,p,average,98.23,measure,p,average,6.47,measure,p,average,12.52,measure,p,NA,NA,NA,n,average,23.73,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,average,84.16,measure,p,NA,93.57,measure,p,NA,95.21,NA,p,NA,n,NA,n,NA,n,NA,n,NA,n,NA
38,https://www.researchgate.net/profile/Jens_Kastrup/publication/51044795_Mesenchymal_stromal_cell_derived_endothelial_progenitor_treatment_in_patients_with_refractory_angina/links/00b7d5188dcf5a06cb000000.pdf,Friis,Mesenchymal stromal cell derived endothelial progenitor cell treatment in patients with severe refractory angina. Scand. Cardiovasc. J. 45:161–168; 2011,SCANDINAVIAN CARDIOVASCULAR JOURNAL,2011,Denmark,Europe,I/IIa,I,Not stated,n,n/a (not claimed),Angina,CVS,Cardiovascular,Intracardiac,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,6,0,6,NA,NA,NA,n,NA,92.4,NA,p,NA,92.5,NA,p,NA,91.8,NA,p,NA,4,NA,p,NA,1,NA,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,92.9,p,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
39,https://journals.sagepub.com/doi/full/10.3727/096368912X656045?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,Cho,Autologous Adipose Tissue-Derived Stem Cells for the Treatment of Crohn's Fistula: A Phase I Clinical Study,CELL TRANSPLANTATION,2013,Korea (Republic of),Asia,I,I,Multiple,n,n/a (not claimed),Perianal fistula (Crohn's),GU,Genito-urinary,Local injection,Adipose,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,3,5,8,greater than,90,measure,p,NA,NA,NA,n,greater than,90,measure,p,NA,NA,NA,n,NA,X,NA,m,less than,10,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,+,m,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,n,NA,n,X,m,NA,n,NA,n,CD10+
40,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3253492/,Kuzmina,Multipotent Mesenchymal Stromal Cells for the Prophylaxis of Acute Graft-versus-Host Disease—A Phase II Study,Stem Cells International,2012,Russia,Asia,II,II,Immune,n,n/a (not claimed),Graft vs host disease,IM,Immune,Intravenous,Bone marrow,Multipotent Stromal,Allogeneic,Both,Adult,2. Average % reported,"Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Not mentioned,Claimed (OA),Yes,9,0,9,average,95.3,measure,p,average,98.1,measure,p,average,98,measure,p,average,98.6,measure,p,NA,0,measure,p,average,4.5,measure,p,NA,NA,NA,n,average,2,measure,p,NA,NA,NA,n,NA,NA,NA,n,average,3.7,measure,p,NA,NA,n,NA,n,NA,2.5,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,"CD59 average 98.8%, FSP average 97%"
41,https://journals.lww.com/transplantjournal/fulltext/2011/10150/Intervertebral_Disc_Repair_by_Autologous.20.aspx,Orozco,Intervertebral Disc Repair by Autologous Mesenchymal Bone Marrow Cells: A Pilot Study,TRANSPLANTATION,2011,Spain,Europe,I/IIa,I,Multiple,y,n,Intervertebral disc repair,MS,Musculoskeletal,Local injection,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,1,7,8,average,87,measure,p,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,NA,NA,n,NA,NA,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,"KDR (VEGFR2) +, CD106+"
42,https://journals.lww.com/transplantjournal/fulltext/2011/06270/Effective_Treatment_of_Severe_Steroid_Resistant.19.aspx#pdf-link,Wu,Effective Treatment of Severe Steroid-Resistant Acute Graft-Versus-Host Disease With Umbilical Cord-Derived Mesenchymal Stem Cells,STEM CELLS,2011,Taiwan,Asia,I,I,Immune,n,n/a (not claimed),Graft vs host disease,IM,Immune,Intravenous,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,3. Tests done but % not reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,0,11,11,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,+,m,NA,X,m,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
43,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172930/,Cheng H,Clinical observation of umbilical cord mesenchymal stem cell transplantation in treatment for sequelae of thoracolumbar spinal cord injury,Journal of Translational Medicine,2014,China,Asia,II,II,Paracrine,n,n/a (not claimed),Spinal cord injury,CNS,Nervous system,Local injection,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,8,0,8,NA,NA,NA,n,greater than,95,measure,p,greater than,95,measure,p,greater than,95,measure,p,less than,5,measure,p,less than,5,measure,p,less than,5,measure,p,NA,NA,NA,n,NA,NA,NA,n,less than,5,measure,p,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,95,NA,p,NA,n,NA,n,NA,n,NA,n,NA,n,NA
44,https://www.sciencedirect.com/science/article/pii/S1465324914008093?via%3Dihub,Chullikana,"Randomized, double-blind, phase I/II study of intravenous allogeneic mesenchymal stromal cells in acute myocardial infarction",CYTOTHERAPY,2015,India,Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Myocardial infarction,CVS,Cardiovascular,Intravenous,Bone marrow,Stromal,Allogeneic,Not stated,Adult,1. % by batch reported,"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,11,0,11,minimum,85,release,p,greater than,85,release,p,greater than,85,release,p,greater than,85,release,p,less than,5,release,p,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,less than,5,release,p,NA,NA,n,NA,n,NA,NA,n,less than,5,release,p,greater than,85,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
45,https://link.springer.com/article/10.1007%2Fs00384-012-1581-9#Sec11,de la Portilla,Expanded allogeneic adipose-derived stem cells (eASCs) for the treatment of complex perianal fistula in Crohn’s disease: results from a multicenter phase I/IIa clinical trial,INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2013,Spain,Europe,I/IIa,I,Immune,n,n/a (not claimed),Perianal fistula (Crohn's),GU,Genito-urinary,Local injection,Adipose,Stem,Allogeneic,Not stated,Adult,3. Tests done but % not reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Performed, no value reported",Claimed (other),No,0,1,1,NA,d,measure,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
46,https://www.sciencedirect.com/science/article/pii/S0167527313007481?via%3Dihub,Gao L,A critical challenge: Dosage-related efficacy and acute complication intracoronary injection of autologous bone marrow mesenchymal stem cells in acute myocardial infarction,INTERNATIONAL JOURNAL OF CARDIOLOGY,2013,China,Asia,II,II,Not stated,y,n,Myocardial infarction,CeV,Cerebrovascular,Intracoronary,Bone marrow,Stem,Autologous,Not stated,Not stated,1. % by batch reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,8,0,8,average,91.4,measure,p,average,93.7,measure,p,average,92.6,measure,p,average,94.3,measure,p,average,2.5,measure,p,average,1.2,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,average,2.1,measure,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,average,91.2,measure,p,NA,n,NA,n,NA,n,NA,n,NA,n,NA
47,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4499169/,Gao L,"Intracoronary infusion of Wharton’s jelly-derived mesenchymal stem cells in acute myocardial infarction: double-blind, randomized controlled trial",BMC Medicine,2015,China,Asia,IIb,II,Multiple,n,n/a (not claimed),Myocardial infarction,CVS,Cardiovascular,Intracoronary,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,10,0,10,minimum,85,measure,p,minimum,95,measure,p,minimum,95,measure,p,minimum,95,measure,p,maximum,2,measure,p,maximum,2,measure,p,NA,NA,NA,n,maximum,2,measure,p,maximum,2,measure,p,NA,NA,NA,n,maximum,2,measure,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,minimum,95,measure,p,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
48,https://journals.sagepub.com/doi/full/10.3727/096368912X636830?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,Haack-Sorensen,Direct Intramyocardial Mesenchymal Stromal Cell Injections in Patients With Severe Refractory Angina: One-Year Follow-Up,CELL TRANSPLANTATION,2013,Denmark,Europe,IIa,II,Not stated,n,n/a (not claimed),Angina,CVS,Cardiovascular,Intracardiac,Bone marrow,Stromal,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,6,0,6,NA,NA,NA,n,NA,92.4,measure,p,NA,92.5,measure,p,NA,91.8,measure,p,NA,4,measure,p,NA,1,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,92.9,p,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
49,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3102237/,Honmou O,Intravenous administration of auto serum-expanded autologous mesenchymal stem cells in stroke,BRAIN RESEARCH,2011,Japan,Asia,I,I,Multiple,n,n/a (not claimed),Stroke (ischaemic),CeV,Cerebrovascular,Intravenous,Bone marrow,Stem,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,3,4,greater than,95.2,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,d,NA,m,NA,d,NA,m,NA,d,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
50,https://www.sciencedirect.com/science/article/pii/S0735109711048741?via%3Dihub,Houtgraaf,First Experience in Humans Using Adipose Tissue-Derived Regenerative Cells in the Treatment of Patients With ST-Segment Elevation Myocardial Infarction,J American College of Cardiology,2011,Netherlands,Europe,I/IIa,I,Paracrine,n,n/a (not claimed),Myocardial infarction,CVS,Cardiovascular,Intracoronary,Adipose,Regenerative,Autologous,Not stated,Not stated,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
